term,estimate,std.error,statistic,p.value,conf.low,conf.high,b,df,dfcom,fmi,lambda,m,riv,ubar,Target,Site.Code,Source
Discharge_cumecs,0.004794733295667945,0.003395628844107833,1.4120310304195547,0.17509379035886652,-0.002342204317757191,0.01193167090909308,1.080945187057861e-5,17.895537933765194,13096,0.9858540712498569,0.9843567940831809,20,62.92551535263172,1.803707828295578e-7,Insecticide.PRM,113006A,Discharge
Rel.Month2,-9.01725868213224,3.608073438220144,-2.4991893420496556,0.02738846179315544,-16.85006254068011,-1.184454823584371,12.364764471767504,12.407092255899347,13096,0.9976476726909299,0.9972967647887283,20,368.9271139375134,0.035191240233849716,Insecticide.PRM,113006A,Discharge
Rel.Month3,-11.94228515956442,3.1881055598453636,-3.7458876236656575,0.002238971947655242,-18.792606632267734,-5.091963686861108,9.64409108726884,13.732541734394202,13096,0.9967323284242284,0.9962887292633119,20,268.44948804581725,0.0377214190846361,Insecticide.PRM,113006A,Discharge
Rel.Month4,-12.296550891631691,3.254370377938086,-3.778473088063989,0.002182981265874154,-19.305158058198067,-5.287943725065315,10.052012073587267,13.41475204406991,13096,0.9969889945501809,0.9965712273294041,20,290.6495481242197,0.03631387953424835,Insecticide.PRM,113006A,Discharge
Rel.Month5,-11.72191317619383,3.2169669168603456,-3.6437779682341382,0.0028397944480401806,-18.650936272898683,-4.792890079488979,9.822435821488957,13.395705031299487,13096,0.9970035137253008,0.996587210908845,20,292.0154701301977,0.03531853161055137,Insecticide.PRM,113006A,Discharge
Rel.Month6,-10.951033933319717,3.710157473048271,-2.9516358841562407,0.012047941050493255,-19.030136034267656,-2.8719318323717804,13.076989144613139,12.06241400642056,13096,0.9978308998813707,0.9974987866720416,20,398.805961699503,0.03442987297213443,Insecticide.PRM,113006A,Discharge
Sampling.Year2022-2023,0.7294060141818869,1.3940136460783024,0.5232416599607059,0.6024097921368952,-2.049421121057569,3.5082331494213426,0.9444834136935815,72.13413115245048,13096,0.5233628227442574,0.5103282198920768,20,1.0421842561145773,0.951566461074262,Insecticide.PRM,113006A,Discharge
Sampling.Year2023-2024,0.30521901210419167,1.4927317026681644,0.2044701077619185,0.8387074702591836,-2.6832979635401246,3.2937359877485077,1.2130052829150897,57.556917161795866,13096,0.5857439107273964,0.571595075394143,20,1.3342402072525767,0.9545923890897529,Insecticide.PRM,113006A,Discharge
(Intercept),2.0315618878116846,2.326925854122104,0.8730668767175422,0.3840670154380025,-2.567428394600565,6.630552170223934,1.8484353717803501,145.3175748027801,13096,0.36710094587193354,0.35844991328092535,20,0.5587247522856079,3.4737267902125155,PSII.PRM,113006A,Discharge
Discharge_cumecs,-9.946877690778341e-4,0.0012974277988275066,-0.7666613664180307,0.45257528310241923,-0.003707694918113698,0.0017183193799580297,1.5536470549269677e-6,19.26653825939687,13096,0.9718890196661951,0.9691148921882801,20,31.378064084999956,5.1989485497072486e-8,PSII.PRM,113006A,Discharge
Rel.Month2,1.0527658443204138,1.9411174112316845,0.5423504205510212,0.5971981858708557,-3.1618900265114025,5.26742171515223,3.578850853340992,12.388840204236068,13096,0.9976578356825979,0.9973079675414185,20,370.4665463309181,0.0101434081787547,PSII.PRM,113006A,Discharge
Rel.Month3,-0.7941654038582835,1.3784600446561794,-0.5761250802567637,0.5729110291739404,-3.7273439456924944,2.139013137975927,1.7993137105184165,15.295704706446084,13096,0.9949034887018043,0.9942779850626545,20,173.76361228513855,0.010872698669178862,PSII.PRM,113006A,Discharge
Rel.Month4,-1.6190173847535674,1.4309156152410434,-1.1314555292492474,0.2757249677371743,-4.670407202985823,1.4323724334786883,1.9400500036910355,14.917744028889626,13096,0.995458575271718,0.9948879636674555,20,194.61676305658574,0.010466994065065736,PSII.PRM,113006A,Discharge
Rel.Month5,-1.4502994208513977,1.7518964224823916,-0.8278454149682898,0.42238737618929356,-5.2269777494048295,2.3263789077020336,2.913296168454341,13.278866679874604,13096,0.9970905915937333,0.9966830790829025,20,300.4844263682574,0.010180098229544056,PSII.PRM,113006A,Discharge
Rel.Month6,-2.115761095252554,1.4019735795323733,-1.5091305044124037,0.15221147788247497,-5.106187610760552,0.8746654202554445,1.8624818700395864,14.87488871448815,13096,0.9955159294809615,0.9949510032506508,20,197.05914910301883,0.00992395416525021,PSII.PRM,113006A,Discharge
Sampling.Year2022-2023,2.7355657242644993,2.897867202804424,0.9439927825599266,0.34555669297752434,-2.9557327761312715,8.426864224660271,1.38971271688651,594.6829093377829,13096,0.17652782653987728,0.17376302613834965,20,0.21030652419997548,6.938435972358701,PSII.PRM,113006A,Discharge
Sampling.Year2023-2024,-0.0866661036867477,2.67375484940557,-0.03241363122951056,0.9741429938354415,-5.32791559435145,5.154583386977955,0.19967317976192775,8068.1033459896835,13096,0.029567410496451525,0.02932688003156763,20,0.030212931035446186,6.939308155969778,PSII.PRM,113006A,Discharge
(Intercept),17.982096475783898,5.0543144920329715,3.5577715838871455,0.0010689909814410642,7.732223322895971,28.231969628671827,17.56863244935916,36.07620142713297,13096,0.7363319920772764,0.7221089596320073,20,2.5985327151093682,7.099030912547395,Total.PRM,113006A,Discharge
Discharge_cumecs,0.006835906048713123,0.005510484710592852,1.240527178230329,0.23266784526027495,-0.004846006562171077,0.018517818659597323,2.87117993059525e-5,15.996514475163204,13096,0.9935750853695383,0.9928190580511314,20,138.2574967351667,2.1805247442746402e-7,Total.PRM,113006A,Discharge
Rel.Month2,-10.899271151058896,4.315417415115659,-2.5256586101918903,0.027140404522463805,-20.33299496196413,-1.4655473401536625,17.69550889551668,11.65202931637477,13096,0.9980273674598351,0.997715538820992,20,436.7399840229259,0.04254312639100425,Total.PRM,113006A,Discharge
Rel.Month3,-18.80480628255001,3.8518713621090437,-4.881992287575688,3.021695740513056e-4,-27.128834611895016,-10.480777953205008,14.086962951694613,12.960692954020642,13096,0.9973115959896917,0.996926456939766,20,324.3574068761767,0.045601890956434736,Total.PRM,113006A,Discharge
Rel.Month4,-18.848170666230573,3.628063576841339,-5.195104845059013,1.6021336867711188e-4,-26.66810671939224,-11.028234613068902,12.494233351095552,13.30145458300857,13096,0.9970740186550315,0.996664832116979,20,298.8349813485811,0.04390029895244264,Total.PRM,113006A,Discharge
Rel.Month5,-18.97379921372776,4.047448419452988,-4.687842128521075,4.974688424153839e-4,-27.77282374713478,-10.174774680320738,15.561087331065576,12.246005138744954,13096,0.9977355450757854,0.9973936374741356,20,382.67648018127454,0.042697010513630146,Total.PRM,113006A,Discharge
Rel.Month6,-19.33963935778757,4.311293394376856,-4.485809150222047,8.161853234666503e-4,-28.772891998505795,-9.906386717069342,17.662502887927307,11.560600914329227,13096,0.9980682709513594,0.9977606855003421,20,445.5652324194777,0.04162270007383314,Total.PRM,113006A,Discharge
Sampling.Year2022-2023,5.208394916806184,4.230403995168733,1.2311814480967658,0.21894667814366436,-3.1071011295364768,13.523890963148844,3.5581690212719375,418.35831199981976,13096,0.21251800661497838,0.20876235436795504,20,0.2638427980776806,14.160240490004046,Total.PRM,113006A,Discharge
Sampling.Year2023-2024,2.627301589868601,4.287124094615193,0.612835442101758,0.5403846350054881,-5.804573931418329,11.059177111155531,4.0147946959545475,348.690298438919,13096,0.23374398954816872,0.22936150588263646,20,0.2976252907601396,14.163898571877864,Total.PRM,113006A,Discharge
(Intercept),13.930432898235987,4.647598689005533,2.9973398803106948,0.004701815859047879,4.532160512251826,23.32870528422015,14.231730287063852,39.311793329340496,13097,0.7063820123051181,0.6918146629790253,20,2.2448007087759043,6.656856772628905,OtherHerb.PRM,119101A,Discharge
